Month,Total,
2013-01-01,265208,1
2013-02-01,1159384,2
2013-03-01,1713234,3
2013-04-01,1768402,4
2013-05-01,1888997,5
2013-06-01,2165673,6
2013-07-01,2181439,7
2013-08-01,2139299,8
2013-09-01,2175425,9
2013-10-01,2191729,10
2013-11-01,1436371,11
2013-12-01,2661310,12
2014-01-01,2998872,13
2014-02-01,2731222,14
2014-03-01,2991084,15
2014-04-01,935536,16
2014-05-01,738716,17
2014-06-01,505791,18
2014-07-01,221968,19
2014-08-01,208073,20
2014-09-01,228905,21
2014-10-01,201568,22
2014-11-01,255916,23
2014-12-01,301585,24
2015-01-01,306825,25
2015-02-01,271991,26
2015-03-01,491551,27
2015-04-01,511160,28
2015-05-01,473626,29
2015-06-01,490079,30
2015-07-01,480956,31
2015-08-01,461283,32
2015-09-01,508062,33
2015-10-01,501356,34
2015-11-01,446544,35
2015-12-01,516974,36
2016-01-01,781706,37
2016-02-01,789333,38
2016-03-01,801403,39
2016-04-01,746058,40
2016-05-01,739348,41
2016-06-01,539741,42
2016-07-01,520647,43
2016-08-01,2197563,44
2016-09-01,1780413,45
2016-10-01,5610068,46
2016-11-01,4987056,47
2016-12-01,5630291,48
2017-01-01,5553092,49
2017-02-01,5245329,50
2017-03-01,6020989,51
2017-04-01,5596948,52
2017-05-01,6095177,53
2017-06-01,5800328,54
2017-07-01,657259,55
2017-08-01,721091,56
2017-09-01,725674,57
2017-10-01,517461,58
2017-11-01,553595,59
2017-12-01,562999,60
2018-01-01,499981,61
2018-02-01,313935,62
2018-03-01,352197,63
2018-04-01,53563,64
2018-05-01,32939,65
2018-06-01,28154,66
2018-07-01,26701,67
2018-08-01,21948,68
2018-09-01,17569,69
2018-10-01,12369,70
2018-11-01,15965,71
2018-12-01,20602,72
2019-01-01,51036268,73
2019-02-01,50056092,74
2019-03-01,54929501,75
2019-04-01,52535910,76
2019-05-01,54286254,77
2019-06-01,49765456,78
2019-07-01,52193575,79
2019-08-01,51234205,80
2019-09-01,52419593,81
2019-10-01,52877176,82
2019-11-01,53393230,83
2019-12-01,55404437,84
2020-01-01,50721713,85
2020-02-01,57187423,86
2020-03-01,38496676,87
2020-04-01,8609162,88
2020-05-01,25492280,89
2020-06-01,36334011,90
2020-07-01,46671394,91
2020-08-01,49444946,92
2020-09-01,56670319,93
2020-10-01,58904909,94
2020-11-01,52612154,95
2020-12-01,64199971,96
2021-01-01,62876994,97
2021-02-01,63849649,98
2021-03-01,71236325,99
2021-04-01,58764518,100
2021-05-01,39978511,101
2021-06-01,54688759,102
2021-07-01,64165467,103
2021-08-01,65894092,104
2021-09-01,60411649,105
2021-10-01,73507499,106
2021-11-01,61151853,107
2021-12-01,69241434,108
2022-01-01,60678432,109
2022-02-01,52815509,110
2022-03-01,63941485,111
2022-04-01,75244749,112
2022-05-01,68230012,113
2022-06-01,74479010,114
2022-07-01,69774530,115
2022-08-01,76217882,116
2022-09-01,77532454,117
2022-10-01,73573856,118
2022-11-01,74874065,119
2022-12-01,81292529,120
2023-01-01,82434594,121
2023-02-01,81845653,122
2023-03-01,90901482,123
2023-04-01,81241793,124
2023-05-01,90901482,125
2023-06-01,86052247,126
2023-07-01,87949923,127
2023-08-01,93440643,128
2023-09-01,88535887,129
2023-10-01,96102581,130
2023-11-01,84578951,131
2023-12-01,91688705,132
2024-01-01,92413111,133
2024-02-01,54014022,134
